,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survival_Status
132,0,3,female,47.0,1,0,14.5,S,Dit not Survived
133,1,2,female,29.0,1,0,26.0,S,Survived
134,0,2,male,25.0,0,0,13.0,S,Dit not Survived
135,0,2,male,23.0,0,0,15.0458,C,Dit not Survived
136,1,1,female,19.0,0,2,26.2833,S,Survived
137,0,1,male,37.0,1,0,53.1,S,Dit not Survived
138,0,3,male,16.0,0,0,9.2167,S,Dit not Survived
139,0,1,male,24.0,0,0,79.2,C,Dit not Survived
141,1,3,female,22.0,0,0,7.75,S,Survived
142,1,3,female,24.0,1,0,15.85,S,Survived
143,0,3,male,19.0,0,0,6.75,Q,Dit not Survived
144,0,2,male,18.0,0,0,11.5,S,Dit not Survived
145,0,2,male,19.0,1,1,36.75,S,Dit not Survived
146,1,3,male,27.0,0,0,7.7958,S,Survived
147,0,3,female,9.0,2,2,34.375,S,Dit not Survived
148,0,2,male,36.5,0,2,26.0,S,Dit not Survived
149,0,2,male,42.0,0,0,13.0,S,Dit not Survived
150,0,2,male,51.0,0,0,12.525,S,Dit not Survived
151,1,1,female,22.0,1,0,66.6,S,Survived
152,0,3,male,55.5,0,0,8.05,S,Dit not Survived
153,0,3,male,40.5,0,2,14.5,S,Dit not Survived
155,0,1,male,51.0,0,1,61.3792,C,Dit not Survived
156,1,3,female,16.0,0,0,7.7333,Q,Survived
157,0,3,male,30.0,0,0,8.05,S,Dit not Survived
160,0,3,male,44.0,0,1,16.1,S,Dit not Survived
161,1,2,female,40.0,0,0,15.75,S,Survived
162,0,3,male,26.0,0,0,7.775,S,Dit not Survived
163,0,3,male,17.0,0,0,8.6625,S,Dit not Survived
164,0,3,male,1.0,4,1,39.6875,S,Dit not Survived
165,1,3,male,9.0,0,2,20.525,S,Survived
167,0,3,female,45.0,1,4,27.9,S,Dit not Survived
169,0,3,male,28.0,0,0,56.4958,S,Dit not Survived
170,0,1,male,61.0,0,0,33.5,S,Dit not Survived
171,0,3,male,4.0,4,1,29.125,Q,Dit not Survived
172,1,3,female,1.0,1,1,11.1333,S,Survived
173,0,3,male,21.0,0,0,7.925,S,Dit not Survived
174,0,1,male,56.0,0,0,30.6958,C,Dit not Survived
175,0,3,male,18.0,1,1,7.8542,S,Dit not Survived
177,0,1,female,50.0,0,0,28.7125,C,Dit not Survived
178,0,2,male,30.0,0,0,13.0,S,Dit not Survived
179,0,3,male,36.0,0,0,0.0,S,Dit not Survived
182,0,3,male,9.0,4,2,31.3875,S,Dit not Survived
183,1,2,male,1.0,2,1,39.0,S,Survived
184,1,3,female,4.0,0,2,22.025,S,Survived
187,1,1,male,45.0,0,0,26.55,S,Survived
188,0,3,male,40.0,1,1,15.5,Q,Dit not Survived
189,0,3,male,36.0,0,0,7.8958,S,Dit not Survived
190,1,2,female,32.0,0,0,13.0,S,Survived
191,0,2,male,19.0,0,0,13.0,S,Dit not Survived
192,1,3,female,19.0,1,0,7.8542,S,Survived
193,1,2,male,3.0,1,1,26.0,S,Survived
194,1,1,female,44.0,0,0,27.7208,C,Survived
195,1,1,female,58.0,0,0,146.5208,C,Survived
197,0,3,male,42.0,0,1,8.4042,S,Dit not Survived
199,0,2,female,24.0,0,0,13.0,S,Dit not Survived
200,0,3,male,28.0,0,0,9.5,S,Dit not Survived
202,0,3,male,34.0,0,0,6.4958,S,Dit not Survived
203,0,3,male,45.5,0,0,7.225,C,Dit not Survived
204,1,3,male,18.0,0,0,8.05,S,Survived
205,0,3,female,2.0,0,1,10.4625,S,Dit not Survived
206,0,3,male,32.0,1,0,15.85,S,Dit not Survived
207,1,3,male,26.0,0,0,18.7875,C,Survived
208,1,3,female,16.0,0,0,7.75,Q,Survived
209,1,1,male,40.0,0,0,31.0,C,Survived
210,0,3,male,24.0,0,0,7.05,S,Dit not Survived
211,1,2,female,35.0,0,0,21.0,S,Survived
212,0,3,male,22.0,0,0,7.25,S,Dit not Survived
213,0,2,male,30.0,0,0,13.0,S,Dit not Survived
215,1,1,female,31.0,1,0,113.275,C,Survived
216,1,3,female,27.0,0,0,7.925,S,Survived
217,0,2,male,42.0,1,0,27.0,S,Dit not Survived
218,1,1,female,32.0,0,0,76.2917,C,Survived
219,0,2,male,30.0,0,0,10.5,S,Dit not Survived
220,1,3,male,16.0,0,0,8.05,S,Survived
221,0,2,male,27.0,0,0,13.0,S,Dit not Survived
222,0,3,male,51.0,0,0,8.05,S,Dit not Survived
224,1,1,male,38.0,1,0,90.0,S,Survived
225,0,3,male,22.0,0,0,9.35,S,Dit not Survived
226,1,2,male,19.0,0,0,10.5,S,Survived
227,0,3,male,20.5,0,0,7.25,S,Dit not Survived
228,0,2,male,18.0,0,0,13.0,S,Dit not Survived
230,1,1,female,35.0,1,0,83.475,S,Survived
231,0,3,male,29.0,0,0,7.775,S,Dit not Survived
232,0,2,male,59.0,0,0,13.5,S,Dit not Survived
233,1,3,female,5.0,4,2,31.3875,S,Survived
234,0,2,male,24.0,0,0,10.5,S,Dit not Survived
236,0,2,male,44.0,1,0,26.0,S,Dit not Survived
237,1,2,female,8.0,0,2,26.25,S,Survived
238,0,2,male,19.0,0,0,10.5,S,Dit not Survived
239,0,2,male,33.0,0,0,12.275,S,Dit not Survived
242,0,2,male,29.0,0,0,10.5,S,Dit not Survived
243,0,3,male,22.0,0,0,7.125,S,Dit not Survived
244,0,3,male,30.0,0,0,7.225,C,Dit not Survived
245,0,1,male,44.0,2,0,90.0,Q,Dit not Survived
246,0,3,female,25.0,0,0,7.775,S,Dit not Survived
247,1,2,female,24.0,0,2,14.5,S,Survived
248,1,1,male,37.0,1,1,52.5542,S,Survived
249,0,2,male,54.0,1,0,26.0,S,Dit not Survived
251,0,3,female,29.0,1,1,10.4625,S,Dit not Survived
252,0,1,male,62.0,0,0,26.55,S,Dit not Survived
253,0,3,male,30.0,1,0,16.1,S,Dit not Survived
254,0,3,female,41.0,0,2,20.2125,S,Dit not Survived
255,1,3,female,29.0,0,2,15.2458,C,Survived
257,1,1,female,30.0,0,0,86.5,S,Survived
259,1,2,female,50.0,0,1,26.0,S,Survived
261,1,3,male,3.0,4,2,31.3875,S,Survived
262,0,1,male,52.0,1,1,79.65,S,Dit not Survived
263,0,1,male,40.0,0,0,0.0,S,Dit not Survived
265,0,2,male,36.0,0,0,10.5,S,Dit not Survived
266,0,3,male,16.0,4,1,39.6875,S,Dit not Survived
267,1,3,male,25.0,1,0,7.775,S,Survived
268,1,1,female,58.0,0,1,153.4625,S,Survived
269,1,1,female,35.0,0,0,135.6333,S,Survived
271,1,3,male,25.0,0,0,0.0,S,Survived
272,1,2,female,41.0,0,1,19.5,S,Survived
273,0,1,male,37.0,0,1,29.7,C,Dit not Survived
275,1,1,female,63.0,1,0,77.9583,S,Survived
276,0,3,female,45.0,0,0,7.75,S,Dit not Survived
278,0,3,male,7.0,4,1,29.125,Q,Dit not Survived
279,1,3,female,35.0,1,1,20.25,S,Survived
280,0,3,male,65.0,0,0,7.75,Q,Dit not Survived
281,0,3,male,28.0,0,0,7.8542,S,Dit not Survived
282,0,3,male,16.0,0,0,9.5,S,Dit not Survived
283,1,3,male,19.0,0,0,8.05,S,Survived
285,0,3,male,33.0,0,0,8.6625,C,Dit not Survived
286,1,3,male,30.0,0,0,9.5,S,Survived
287,0,3,male,22.0,0,0,7.8958,S,Dit not Survived
288,1,2,male,42.0,0,0,13.0,S,Survived
289,1,3,female,22.0,0,0,7.75,Q,Survived
290,1,1,female,26.0,0,0,78.85,S,Survived
291,1,1,female,19.0,1,0,91.0792,C,Survived
292,0,2,male,36.0,0,0,12.875,C,Dit not Survived
293,0,3,female,24.0,0,0,8.85,S,Dit not Survived
294,0,3,male,24.0,0,0,7.8958,S,Dit not Survived
296,0,3,male,23.5,0,0,7.2292,C,Dit not Survived
297,0,1,female,2.0,1,2,151.55,S,Dit not Survived
299,1,1,female,50.0,0,1,247.5208,C,Survived
302,0,3,male,19.0,0,0,0.0,S,Dit not Survived
305,1,1,male,0.92,1,2,151.55,S,Survived
307,1,1,female,17.0,1,0,108.9,C,Survived
308,0,2,male,30.0,1,0,24.0,C,Dit not Survived
309,1,1,female,30.0,0,0,56.9292,C,Survived
310,1,1,female,24.0,0,0,83.1583,C,Survived
311,1,1,female,18.0,2,2,262.375,C,Survived
312,0,2,female,26.0,1,1,26.0,S,Dit not Survived
313,0,3,male,28.0,0,0,7.8958,S,Dit not Survived
314,0,2,male,43.0,1,1,26.25,S,Dit not Survived
315,1,3,female,26.0,0,0,7.8542,S,Survived
316,1,2,female,24.0,1,0,26.0,S,Survived
317,0,2,male,54.0,0,0,14.0,S,Dit not Survived
318,1,1,female,31.0,0,2,164.8667,S,Survived
319,1,1,female,40.0,1,1,134.5,C,Survived
320,0,3,male,22.0,0,0,7.25,S,Dit not Survived
321,0,3,male,27.0,0,0,7.8958,S,Dit not Survived
322,1,2,female,30.0,0,0,12.35,Q,Survived
323,1,2,female,22.0,1,1,29.0,S,Survived
325,1,1,female,36.0,0,0,135.6333,C,Survived
326,0,3,male,61.0,0,0,6.2375,S,Dit not Survived
327,1,2,female,36.0,0,0,13.0,S,Survived
328,1,3,female,31.0,1,1,20.525,S,Survived
329,1,1,female,16.0,0,1,57.9792,C,Survived
331,0,1,male,45.5,0,0,28.5,S,Dit not Survived
332,0,1,male,38.0,0,1,153.4625,S,Dit not Survived
333,0,3,male,16.0,2,0,18.0,S,Dit not Survived
336,0,1,male,29.0,1,0,66.6,S,Dit not Survived
337,1,1,female,41.0,0,0,134.5,C,Survived
338,1,3,male,45.0,0,0,8.05,S,Survived
339,0,1,male,45.0,0,0,35.5,S,Dit not Survived
340,1,2,male,2.0,1,1,26.0,S,Survived
341,1,1,female,24.0,3,2,263.0,S,Survived
342,0,2,male,28.0,0,0,13.0,S,Dit not Survived
343,0,2,male,25.0,0,0,13.0,S,Dit not Survived
344,0,2,male,36.0,0,0,13.0,S,Dit not Survived
345,1,2,female,24.0,0,0,13.0,S,Survived
346,1,2,female,40.0,0,0,13.0,S,Survived
348,1,3,male,3.0,1,1,15.9,S,Survived
349,0,3,male,42.0,0,0,8.6625,S,Dit not Survived
350,0,3,male,23.0,0,0,9.225,S,Dit not Survived
352,0,3,male,15.0,1,1,7.2292,C,Dit not Survived
353,0,3,male,25.0,1,0,17.8,S,Dit not Survived
355,0,3,male,28.0,0,0,9.5,S,Dit not Survived
356,1,1,female,22.0,0,1,55.0,S,Survived
357,0,2,female,38.0,0,0,13.0,S,Dit not Survived
360,0,3,male,40.0,1,4,27.9,S,Dit not Survived
361,0,2,male,29.0,1,0,27.7208,C,Dit not Survived
362,0,3,female,45.0,0,1,14.4542,C,Dit not Survived
363,0,3,male,35.0,0,0,7.05,S,Dit not Survived
365,0,3,male,30.0,0,0,7.25,S,Dit not Survived
366,1,1,female,60.0,1,0,75.25,C,Survived
369,1,1,female,24.0,0,0,69.3,C,Survived
370,1,1,male,25.0,1,0,55.4417,C,Survived
371,0,3,male,18.0,1,0,6.4958,S,Dit not Survived
372,0,3,male,19.0,0,0,8.05,S,Dit not Survived
373,0,1,male,22.0,0,0,135.6333,C,Dit not Survived
374,0,3,female,3.0,3,1,21.075,S,Dit not Survived
376,1,3,female,22.0,0,0,7.25,S,Survived
377,0,1,male,27.0,0,2,211.5,C,Dit not Survived
378,0,3,male,20.0,0,0,4.0125,C,Dit not Survived
379,0,3,male,19.0,0,0,7.775,S,Dit not Survived
380,1,1,female,42.0,0,0,227.525,C,Survived
381,1,3,female,1.0,0,2,15.7417,C,Survived
382,0,3,male,32.0,0,0,7.925,S,Dit not Survived
383,1,1,female,35.0,1,0,52.0,S,Survived
385,0,2,male,18.0,0,0,73.5,S,Dit not Survived
386,0,3,male,1.0,5,2,46.9,S,Dit not Survived
387,1,2,female,36.0,0,0,13.0,S,Survived
389,1,2,female,17.0,0,0,12.0,C,Survived
390,1,1,male,36.0,1,2,120.0,S,Survived
391,1,3,male,21.0,0,0,7.7958,S,Survived
392,0,3,male,28.0,2,0,7.925,S,Dit not Survived
393,1,1,female,23.0,1,0,113.275,C,Survived
394,1,3,female,24.0,0,2,16.7,S,Survived
395,0,3,male,22.0,0,0,7.7958,S,Dit not Survived
396,0,3,female,31.0,0,0,7.8542,S,Dit not Survived
397,0,2,male,46.0,0,0,26.0,S,Dit not Survived
398,0,2,male,23.0,0,0,10.5,S,Dit not Survived
399,1,2,female,28.0,0,0,12.65,S,Survived
400,1,3,male,39.0,0,0,7.925,S,Survived
401,0,3,male,26.0,0,0,8.05,S,Dit not Survived
402,0,3,female,21.0,1,0,9.825,S,Dit not Survived
403,0,3,male,28.0,1,0,15.85,S,Dit not Survived
404,0,3,female,20.0,0,0,8.6625,S,Dit not Survived
405,0,2,male,34.0,1,0,21.0,S,Dit not Survived
406,0,3,male,51.0,0,0,7.75,S,Dit not Survived
407,1,2,male,3.0,1,1,18.75,S,Survived
408,0,3,male,21.0,0,0,7.775,S,Dit not Survived
412,1,1,female,33.0,1,0,90.0,Q,Survived
414,1,3,male,44.0,0,0,7.925,S,Survived
416,1,2,female,34.0,1,1,32.5,S,Survived
417,1,2,female,18.0,0,2,13.0,S,Survived
418,0,2,male,30.0,0,0,13.0,S,Dit not Survived
419,0,3,female,10.0,0,2,24.15,S,Dit not Survived
421,0,3,male,21.0,0,0,7.7333,Q,Dit not Survived
422,0,3,male,29.0,0,0,7.875,S,Dit not Survived
423,0,3,female,28.0,1,1,14.4,S,Dit not Survived
424,0,3,male,18.0,1,1,20.2125,S,Dit not Survived
426,1,2,female,28.0,1,0,26.0,S,Survived
427,1,2,female,19.0,0,0,26.0,S,Survived
429,1,3,male,32.0,0,0,8.05,S,Survived
430,1,1,male,28.0,0,0,26.55,S,Survived
432,1,2,female,42.0,1,0,26.0,S,Survived
433,0,3,male,17.0,0,0,7.125,S,Dit not Survived
434,0,1,male,50.0,1,0,55.9,S,Dit not Survived
435,1,1,female,14.0,1,2,120.0,S,Survived
436,0,3,female,21.0,2,2,34.375,S,Dit not Survived
437,1,2,female,24.0,2,3,18.75,S,Survived
438,0,1,male,64.0,1,4,263.0,S,Dit not Survived
439,0,2,male,31.0,0,0,10.5,S,Dit not Survived
440,1,2,female,45.0,1,1,26.25,S,Survived
441,0,3,male,20.0,0,0,9.5,S,Dit not Survived
442,0,3,male,25.0,1,0,7.775,S,Dit not Survived
443,1,2,female,28.0,0,0,13.0,S,Survived
445,1,1,male,4.0,0,2,81.8583,S,Survived
446,1,2,female,13.0,0,1,19.5,S,Survived
447,1,1,male,34.0,0,0,26.55,S,Survived
448,1,3,female,5.0,2,1,19.2583,C,Survived
449,1,1,male,52.0,0,0,30.5,S,Survived
450,0,2,male,36.0,1,2,27.75,S,Dit not Survived
452,0,1,male,30.0,0,0,27.75,C,Dit not Survived
453,1,1,male,49.0,1,0,89.1042,C,Survived
455,1,3,male,29.0,0,0,7.8958,C,Survived
456,0,1,male,65.0,0,0,26.55,S,Dit not Survived
458,1,2,female,50.0,0,0,10.5,S,Survived
460,1,1,male,48.0,0,0,26.55,S,Survived
461,0,3,male,34.0,0,0,8.05,S,Dit not Survived
462,0,1,male,47.0,0,0,38.5,S,Dit not Survived
463,0,2,male,48.0,0,0,13.0,S,Dit not Survived
465,0,3,male,38.0,0,0,7.05,S,Dit not Survived
467,0,1,male,56.0,0,0,26.55,S,Dit not Survived
469,1,3,female,0.75,2,1,19.2583,C,Survived
471,0,3,male,38.0,0,0,8.6625,S,Dit not Survived
472,1,2,female,33.0,1,2,27.75,S,Survived
473,1,2,female,23.0,0,0,13.7917,C,Survived
474,0,3,female,22.0,0,0,9.8375,S,Dit not Survived
476,0,2,male,34.0,1,0,21.0,S,Dit not Survived
477,0,3,male,29.0,1,0,7.0458,S,Dit not Survived
478,0,3,male,22.0,0,0,7.5208,S,Dit not Survived
479,1,3,female,2.0,0,1,12.2875,S,Survived
480,0,3,male,9.0,5,2,46.9,S,Dit not Survived
482,0,3,male,50.0,0,0,8.05,S,Dit not Survived
483,1,3,female,63.0,0,0,9.5875,S,Survived
484,1,1,male,25.0,1,0,91.0792,C,Survived
486,1,1,female,35.0,1,0,90.0,S,Survived
487,0,1,male,58.0,0,0,29.7,C,Dit not Survived
488,0,3,male,30.0,0,0,8.05,S,Dit not Survived
489,1,3,male,9.0,1,1,15.9,S,Survived
491,0,3,male,21.0,0,0,7.25,S,Dit not Survived
492,0,1,male,55.0,0,0,30.5,S,Dit not Survived
493,0,1,male,71.0,0,0,49.5042,C,Dit not Survived
494,0,3,male,21.0,0,0,8.05,S,Dit not Survived
496,1,1,female,54.0,1,0,78.2667,C,Survived
498,0,1,female,25.0,1,2,151.55,S,Dit not Survived
499,0,3,male,24.0,0,0,7.7958,S,Dit not Survived
500,0,3,male,17.0,0,0,8.6625,S,Dit not Survived
501,0,3,female,21.0,0,0,7.75,Q,Dit not Survived
503,0,3,female,37.0,0,0,9.5875,S,Dit not Survived
504,1,1,female,16.0,0,0,86.5,S,Survived
505,0,1,male,18.0,1,0,108.9,C,Dit not Survived
506,1,2,female,33.0,0,2,26.0,S,Survived
508,0,3,male,28.0,0,0,22.525,S,Dit not Survived
509,1,3,male,26.0,0,0,56.4958,S,Survived
510,1,3,male,29.0,0,0,7.75,Q,Survived
512,1,1,male,36.0,0,0,26.2875,S,Survived
513,1,1,female,54.0,1,0,59.4,C,Survived
514,0,3,male,24.0,0,0,7.4958,S,Dit not Survived
515,0,1,male,47.0,0,0,34.0208,S,Dit not Survived
516,1,2,female,34.0,0,0,10.5,S,Survived
518,1,2,female,36.0,1,0,26.0,S,Survived
519,0,3,male,32.0,0,0,7.8958,S,Dit not Survived
520,1,1,female,30.0,0,0,93.5,S,Survived
521,0,3,male,22.0,0,0,7.8958,S,Dit not Survived
523,1,1,female,44.0,0,1,57.9792,C,Survived
525,0,3,male,40.5,0,0,7.75,Q,Dit not Survived
526,1,2,female,50.0,0,0,10.5,S,Survived
528,0,3,male,39.0,0,0,7.925,S,Dit not Survived
529,0,2,male,23.0,2,1,11.5,S,Dit not Survived
530,1,2,female,2.0,1,1,26.0,S,Survived
532,0,3,male,17.0,1,1,7.2292,C,Dit not Survived
534,0,3,female,30.0,0,0,8.6625,S,Dit not Survived
535,1,2,female,7.0,0,2,26.25,S,Survived
536,0,1,male,45.0,0,0,26.55,S,Dit not Survived
537,1,1,female,30.0,0,0,106.425,C,Survived
539,1,1,female,22.0,0,2,49.5,C,Survived
540,1,1,female,36.0,0,2,71.0,S,Survived
541,0,3,female,9.0,4,2,31.275,S,Dit not Survived
542,0,3,female,11.0,4,2,31.275,S,Dit not Survived
543,1,2,male,32.0,1,0,26.0,S,Survived
544,0,1,male,50.0,1,0,106.425,C,Dit not Survived
545,0,1,male,64.0,0,0,26.0,S,Dit not Survived
546,1,2,female,19.0,1,0,26.0,S,Survived
548,0,3,male,33.0,1,1,20.525,S,Dit not Survived
549,1,2,male,8.0,1,1,36.75,S,Survived
550,1,1,male,17.0,0,2,110.8833,C,Survived
551,0,2,male,27.0,0,0,26.0,S,Dit not Survived
553,1,3,male,22.0,0,0,7.225,C,Survived
554,1,3,female,22.0,0,0,7.775,S,Survived
555,0,1,male,62.0,0,0,26.55,S,Dit not Survived
556,1,1,female,48.0,1,0,39.6,C,Survived
558,1,1,female,39.0,1,1,79.65,S,Survived
559,1,3,female,36.0,1,0,17.4,S,Survived
561,0,3,male,40.0,0,0,7.8958,S,Dit not Survived
562,0,2,male,28.0,0,0,13.5,S,Dit not Survived
565,0,3,male,24.0,2,0,24.15,S,Dit not Survived
566,0,3,male,19.0,0,0,7.8958,S,Dit not Survived
567,0,3,female,29.0,0,4,21.075,S,Dit not Survived
569,1,3,male,32.0,0,0,7.8542,S,Survived
570,1,2,male,62.0,0,0,10.5,S,Survived
571,1,1,female,53.0,2,0,51.4792,S,Survived
572,1,1,male,36.0,0,0,26.3875,S,Survived
574,0,3,male,16.0,0,0,8.05,S,Dit not Survived
575,0,3,male,19.0,0,0,14.5,S,Dit not Survived
576,1,2,female,34.0,0,0,13.0,S,Survived
577,1,1,female,39.0,1,0,55.9,S,Survived
579,1,3,male,32.0,0,0,7.925,S,Survived
580,1,2,female,25.0,1,1,30.0,S,Survived
581,1,1,female,39.0,1,1,110.8833,C,Survived
582,0,2,male,54.0,0,0,26.0,S,Dit not Survived
583,0,1,male,36.0,0,0,40.125,C,Dit not Survived
585,1,1,female,18.0,0,2,79.65,S,Survived
586,0,2,male,47.0,0,0,15.0,S,Dit not Survived
587,1,1,male,60.0,1,1,79.2,C,Survived
588,0,3,male,22.0,0,0,8.05,S,Dit not Survived
590,0,3,male,35.0,0,0,7.125,S,Dit not Survived
591,1,1,female,52.0,1,0,78.2667,C,Survived
592,0,3,male,47.0,0,0,7.25,S,Dit not Survived
594,0,2,male,37.0,1,0,26.0,S,Dit not Survived
595,0,3,male,36.0,1,1,24.15,S,Dit not Survived
597,0,3,male,49.0,0,0,0.0,S,Dit not Survived
599,1,1,male,49.0,1,0,56.9292,C,Survived
600,1,2,female,24.0,2,1,27.0,S,Survived
603,0,3,male,44.0,0,0,8.05,S,Dit not Survived
604,1,1,male,35.0,0,0,26.55,C,Survived
605,0,3,male,36.0,1,0,15.55,S,Dit not Survived
606,0,3,male,30.0,0,0,7.8958,S,Dit not Survived
607,1,1,male,27.0,0,0,30.5,S,Survived
608,1,2,female,22.0,1,2,41.5792,C,Survived
609,1,1,female,40.0,0,0,153.4625,S,Survived
610,0,3,female,39.0,1,5,31.275,S,Dit not Survived
614,0,3,male,35.0,0,0,8.05,S,Dit not Survived
615,1,2,female,24.0,1,2,65.0,S,Survived
616,0,3,male,34.0,1,1,14.4,S,Dit not Survived
617,0,3,female,26.0,1,0,16.1,S,Dit not Survived
