species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,Female,Male,spec_id
Gentoo,43.3,13.4,209.0,4400.0,True,False,1
Gentoo,42.6,13.7,213.0,4950.0,True,False,1
Gentoo,47.6,14.5,215.0,5400.0,False,True,1
Gentoo,47.2,13.7,214.0,4925.0,True,False,1
Gentoo,49.4,15.8,216.0,4925.0,False,True,1
Gentoo,48.7,15.1,222.0,5350.0,False,True,1
Gentoo,50.1,15.0,225.0,5000.0,False,True,1
Gentoo,51.5,16.3,230.0,5500.0,False,True,1
Gentoo,54.3,15.7,231.0,5650.0,False,True,1
Gentoo,46.5,14.8,217.0,5200.0,True,False,1
Gentoo,46.4,15.0,216.0,4700.0,True,False,1
Gentoo,49.6,16.0,225.0,5700.0,False,True,1
Gentoo,49.5,16.1,224.0,5650.0,False,True,1
Gentoo,45.2,16.4,223.0,5950.0,False,True,1
Gentoo,50.4,15.7,222.0,5750.0,False,True,1
Gentoo,45.5,13.9,210.0,4200.0,True,False,1
Gentoo,46.6,14.2,210.0,4850.0,True,False,1
Gentoo,51.1,16.3,220.0,6000.0,False,True,1
Gentoo,50.0,15.2,218.0,5700.0,False,True,1
Gentoo,48.4,16.3,220.0,5400.0,False,True,1
Gentoo,45.5,13.7,214.0,4650.0,True,False,1
Gentoo,46.2,14.9,221.0,5300.0,False,True,1
Gentoo,45.2,13.8,215.0,4750.0,True,False,1
Gentoo,45.8,14.6,210.0,4200.0,True,False,1
Gentoo,49.0,16.1,216.0,5550.0,False,True,1
Gentoo,46.5,13.5,210.0,4550.0,True,False,1
Gentoo,48.7,14.1,210.0,4450.0,True,False,1
Gentoo,55.1,16.0,230.0,5850.0,False,True,1
Gentoo,48.8,16.2,222.0,6000.0,False,True,1
Gentoo,46.8,14.3,215.0,4850.0,True,False,1
Gentoo,45.1,14.4,210.0,4400.0,True,False,1
Gentoo,45.5,15.0,220.0,5000.0,False,True,1
Gentoo,42.9,13.1,215.0,5000.0,True,False,1
Gentoo,46.1,15.1,215.0,5100.0,False,True,1
Gentoo,52.5,15.6,221.0,5450.0,False,True,1
Gentoo,47.5,15.0,218.0,4950.0,True,False,1
Gentoo,51.3,14.2,218.0,5300.0,False,True,1
Gentoo,41.7,14.7,210.0,4700.0,True,False,1
Gentoo,47.5,14.0,212.0,4875.0,True,False,1
Gentoo,44.5,14.7,214.0,4850.0,True,False,1
Gentoo,43.2,14.5,208.0,4450.0,True,False,1
Gentoo,42.0,13.5,210.0,4150.0,True,False,1
Gentoo,45.0,15.4,220.0,5050.0,False,True,1
Gentoo,50.5,15.9,225.0,5400.0,False,True,1
Gentoo,50.8,17.3,228.0,5600.0,False,True,1
Gentoo,50.8,15.7,226.0,5200.0,False,True,1
Gentoo,49.6,15.0,216.0,4750.0,False,True,1
Gentoo,45.3,13.8,208.0,4200.0,True,False,1
Chinstrap,52.0,19.0,197.0,4150.0,False,True,2
Chinstrap,47.0,17.3,185.0,3700.0,True,False,2
Chinstrap,46.5,17.9,192.0,3500.0,True,False,2
Chinstrap,49.3,19.9,203.0,4050.0,False,True,2
Chinstrap,52.8,20.0,205.0,4550.0,False,True,2
Chinstrap,50.9,17.9,196.0,3675.0,True,False,2
Chinstrap,50.3,20.0,197.0,3300.0,False,True,2
Chinstrap,45.7,17.0,195.0,3650.0,True,False,2
Chinstrap,50.1,17.9,190.0,3400.0,True,False,2
Chinstrap,45.6,19.4,194.0,3525.0,True,False,2
Chinstrap,46.4,17.8,191.0,3700.0,True,False,2
Chinstrap,54.2,20.8,201.0,4300.0,False,True,2
Chinstrap,50.6,19.4,193.0,3800.0,False,True,2
Chinstrap,40.9,16.6,187.0,3200.0,True,False,2
Chinstrap,52.2,18.8,197.0,3450.0,False,True,2
Chinstrap,50.8,19.0,210.0,4100.0,False,True,2
Chinstrap,58.0,17.8,181.0,3700.0,True,False,2
Chinstrap,46.1,18.2,178.0,3250.0,True,False,2
Chinstrap,49.7,18.6,195.0,3600.0,False,True,2
Chinstrap,49.5,19.0,200.0,3800.0,False,True,2
Chinstrap,51.9,19.5,206.0,3950.0,False,True,2
Chinstrap,48.5,17.5,191.0,3400.0,False,True,2
Chinstrap,49.0,19.6,212.0,4300.0,False,True,2
Chinstrap,46.4,18.6,190.0,3450.0,True,False,2
Chinstrap,48.1,16.4,199.0,3325.0,True,False,2
Chinstrap,49.2,18.2,195.0,4400.0,False,True,2
Chinstrap,46.7,17.9,195.0,3300.0,True,False,2
Chinstrap,45.2,16.6,191.0,3250.0,True,False,2
Chinstrap,52.0,20.7,210.0,4800.0,False,True,2
Chinstrap,52.7,19.8,197.0,3725.0,False,True,2
Chinstrap,50.5,18.4,200.0,3400.0,True,False,2
Chinstrap,47.5,16.8,199.0,3900.0,True,False,2
Chinstrap,45.5,17.0,196.0,3500.0,True,False,2
Chinstrap,50.2,18.8,202.0,3800.0,False,True,2
Chinstrap,51.7,20.3,194.0,3775.0,False,True,2
Chinstrap,46.0,18.9,195.0,4150.0,True,False,2
Chinstrap,51.5,18.7,187.0,3250.0,False,True,2
Chinstrap,43.5,18.1,202.0,3400.0,True,False,2
Chinstrap,55.8,19.8,207.0,4000.0,False,True,2
Chinstrap,45.2,17.8,198.0,3950.0,True,False,2
Chinstrap,50.9,19.1,196.0,3550.0,False,True,2
Chinstrap,42.4,17.3,181.0,3600.0,True,False,2
Chinstrap,47.6,18.3,195.0,3850.0,True,False,2
Chinstrap,50.8,18.5,201.0,4450.0,False,True,2
Chinstrap,51.3,19.2,193.0,3650.0,False,True,2
Chinstrap,52.0,18.1,201.0,4050.0,False,True,2
Chinstrap,49.6,18.2,193.0,3775.0,False,True,2
Chinstrap,51.3,18.2,197.0,3750.0,False,True,2
Chinstrap,42.5,16.7,187.0,3350.0,True,False,2
Chinstrap,46.2,17.5,187.0,3650.0,True,False,2
