LoanID,StringID,Product,CustomerGender,Location,Region,TotalPrice,StartDate,Deposit,DailyRate,TotalDaysYr,AmtPaid36,AmtPaid60,AmtPaid360,LoanStatus
50,LoanID_50,Product A,Male,Location 3,Region 7,23250,17/06/2020,5000,55,365,5550,6875,22750,Active
51,LoanID_51,Product B,Male,Location 91,Region 3,17600,07/02/2019,2200,45,365,3360,4385,12360,Active
52,LoanID_52,Product A,Male,Location 337,Region 1,21250,11/12/2019,2200,55,365,1751,2826,14451,Active
53,LoanID_53,Product D,Female,Location 41,Region 6,21250,09/06/2017,2200,55,365,4061,4886,17261,Active
54,LoanID_54,Product B,Female,Location 42,Region 1,17600,12/04/2019,2200,45,365,3121,3686,12161,Active
55,LoanID_55,Product B,Male,Location 632,Region 6,17600,05/01/2019,2200,45,365,3301,4486,17381,Active
56,LoanID_56,Product B,Male,Location 73,Region 6,17600,21/03/2018,2200,45,365,3300,4365,12920,Active
57,LoanID_57,Product B,Female,Location 10,Region 6,,10/08/2018,2200,45,365,3361,4291,8276,Active
58,LoanID_58,Product B,Male,Location 53,Region 2,17600,12/01/2019,2200,45,365,3231,4256,17178,
59,LoanID_59,Product B,Female,Location 214,Region 6,17600,25/10/2018,2200,45,365,3500,4205,14280,Active
60,LoanID_60,Product B,Female,Location 218,Region 6,17600,12/06/2018,2200,45,365,3180,3325,10040,Active
61,LoanID_61,Product A,Female,Location 38,Region 6,20250,12/02/2020,1000,55,365,1150,2075,13000,Active
62,LoanID_62,Product C,Female,Location 172,Region 6,16600,09/11/2016,1000,45,365,2220,3165,11360,Active
63,LoanID_63,Product C,Male,Location 197,Region 1,16600,24/01/2017,1000,45,365,2300,3325,15400,Active
64,LoanID_64,Product D,NotSpecified,Location 61,Region 3,21250,07/07/2017,2200,55,365,2350,2275,3480,Active
65,LoanID_65,Product B,Male,Location 13,Region 6,17600,06/03/2019,2200,45,365,3181,4166,16706,Active
66,LoanID_66,Product A,Female,Location 101,Region 1,23250,04/08/2019,5000,55,365,14600,14425,22650,Active
67,LoanID_67,Product A,Male,Location 185,Region 7,23250,27/05/2019,5000,55,365,5500,6875,18570,Active
68,LoanID_68,Product D,Female,Location 129,Region 3,21250,09/04/2017,2200,55,365,3401,4426,15431,Active
69,LoanID_69,Product A,Female,Location 113,Region 6,21250,17/12/2019,2200,55,365,1601,2826,13451,Active
70,LoanID_70,Product B,Male,Location 62,Region 6,17600,11/11/2018,2200,45,365,3781,6006,17241,Active
71,LoanID_71,Product C,Female,Location 235,Region 1,16600,07/08/2016,1000,45,365,2480,3225,15620,Active
72,LoanID_72,Product B,Male,Location 3,Region 6,17600,16/09/2018,2200,45,365,3501,3326,13921,Active
73,LoanID_73,Product B,Male,Location 142,Region 16,17600,17/04/2018,2200,45,365,5001,5026,17191,Active
74,LoanID_74,Product A,Male,Location 50,Region 5,23250,25/04/2020,5000,55,365,6480,7305,18350,Active
75,LoanID_75,Product A,Male,Location 76,Region 1,21750,14/09/2019,3000,55,365,2350,3525,12400,Active
76,LoanID_76,Product A,Male,Location 11,Region 2,23250,11/09/2019,5000,55,365,5450,6725,18400,Active
77,LoanID_77,Product A,Male,Location 75,Region 2,20250,31/01/2020,1000,55,365,900,1775,13650,Active
78,LoanID_78,Product D,Male,Location 33,Region 6,21250,28/07/2017,2200,55,365,3651,4776,20801,Active
79,LoanID_79,Product D,Female,Location 22,Region 6,21250,05/11/2017,2200,55,365,3581,4836,20007,Active
80,LoanID_80,Product D,Male,Location 145,Region 3,21250,29/08/2017,2200,55,365,7150,7075,19300,Active
81,LoanID_81,Product A,NotSpecified,Location 44,Region 2,20250,28/11/2019,1000,55,365,500,1175,9450,Active
82,LoanID_82,Product B,Female,Location 203,Region 1,17600,10/06/2018,2200,45,365,4300,4515,15480,Active
83,LoanID_83,Product A,Female,Location 13,Region 2,23250,05/06/2019,5000,55,365,6350,7125,21900,Active
84,LoanID_84,Product D,Male,Location 94,Region 6,21250,22/07/2017,2200,55,365,3750,4875,20150,Active
85,LoanID_85,Product B,Female,Location 26,Region 3,17600,16/03/2018,2200,45,365,4101,4926,17551,Active
86,LoanID_86,Product A,Male,Location 94,Region 2,20250,03/06/2020,1000,55,365,-2350,-2075,2500,Active
87,LoanID_87,Product A,Female,Location 62,Region 7,23250,06/12/2019,5000,55,365,6100,6475,13980,Active
88,LoanID_88,Product C,Male,Location 573,Region 4,17600,27/04/2018,2200,45,365,3501,4206,11861,Active
89,LoanID_89,Product A,Male,Location 27,Region 5,20250,21/12/2019,1000,55,365,200,525,3850,Active
90,LoanID_90,Product B,Male,Location 17,Region 3,17600,23/12/2018,2200,45,365,3041,3546,16241,
91,LoanID_91,Product A,Male,Location 186,Region 7,,30/05/2019,5000,55,365,5450,6425,15400,Active
92,LoanID_92,Product D,Male,Location 27,Region 3,21250,22/04/2017,2200,55,365,3651,3976,15501,Active
93,LoanID_93,Product B,Male,Location 4,Region 1,17600,26/10/2018,2200,45,365,6781,6606,16491,Active
94,LoanID_94,Product B,Male,Location 377,Region 6,17600,15/04/2019,2200,45,365,3281,4196,14146,Active
95,LoanID_95,Product A,Female,Location 73,Region 2,20250,09/08/2019,1000,55,365,1830,2405,14200,Active
96,LoanID_96,Product B,Female,Location 4,Region 7,17600,11/05/2019,2200,45,365,3501,4981,9996,Active
97,LoanID_97,Product B,Female,Location 70,Region 3,17600,01/06/2018,2200,45,365,3500,4245,14240,Active
98,LoanID_98,Product A,Male,Location 45,Region 4,23250,25/12/2019,5000,55,365,5600,6725,15665,Active
99,LoanID_99,Product A,Male,Location 3,Region 4,23250,23/07/2019,5000,55,365,5600,6715,22600,Active
100,LoanID_100,Product B,Female,Location 262,Region 1,17600,30/08/2018,2200,45,365,3301,3126,10151,Active
101,LoanID_101,Product B,Male,Location 91,Region 2,17600,03/02/2018,2200,45,365,3501,4546,14061,Active
102,LoanID_102,Product A,Female,Location 111,Region 2,20250,29/02/2020,1000,55,365,-2050,-985,8010,Active
103,LoanID_103,Product B,Female,Location 84,Region 3,17600,15/05/2019,2200,45,365,4701,5726,16068,Active
104,LoanID_104,Product A,Male,Location 25,Region 6,23250,28/08/2019,5000,55,365,5000,5575,11100,Active
105,LoanID_105,Product A,Male,Location 108,Region 3,20250,08/02/2020,1000,55,365,2000,3925,19250,Active
106,LoanID_106,Product B,Male,Location 58,Region 2,17600,11/03/2018,2200,45,365,3661,4626,16851,Active
107,LoanID_107,Product B,Male,Location 48,Region 6,17600,26/03/2019,2200,45,365,3281,3726,11118,Active
108,LoanID_108,Product A,Female,Location 7,Region 3,20250,13/08/2019,1000,55,365,2830,3265,18575,Active
109,LoanID_109,Product B,Female,Location 87,Region 1,17600,05/05/2018,2200,45,365,3101,4086,15721,Active
110,LoanID_110,Product A,Male,Location 74,Region 2,23250,23/05/2019,5000,55,365,5200,5575,11700,Active
111,LoanID_111,Product B,Male,Location 17,Region 1,17600,24/02/2018,2200,45,365,2941,3566,13601,Active
112,LoanID_112,Product C,Male,Location 53,Region 6,16600,10/12/2016,1000,45,365,2170,3265,16216,Active
113,LoanID_113,Product B,Male,Location 53,Region 6,17600,07/11/2018,2200,45,365,3541,4286,17441,Active
114,LoanID_114,Product D,Female,Location 73,Region 6,21250,16/12/2017,2200,55,365,6351,7676,21201,Active
115,LoanID_115,Product B,Male,Location 4,Region 3,17600,29/04/2019,2200,45,365,4700,6825,15400,Active
116,LoanID_116,Product A,Male,Location 73,Region 1,20250,07/05/2020,1000,55,365,-1760,-515,13200,Active
117,LoanID_117,Product A,Female,Location 450,Region 4,20250,06/05/2020,1000,55,365,-1350,-75,14850,Active
118,LoanID_118,Product A,Female,Location 48,Region 2,20250,22/11/2019,1000,55,365,-250,525,13200,Active
119,LoanID_119,Product C,NotSpecified,Location 47,Region 3,16600,26/06/2016,1000,45,365,2200,3525,11000,Active
120,LoanID_120,Product A,Male,Location 37,Region 3,23250,30/07/2019,5000,55,365,5600,6475,17600,Active
121,LoanID_121,Product A,Male,Location 6,Region 4,23250,03/08/2019,5000,55,365,5500,6765,17625,Active
122,LoanID_122,Product B,Female,Location 43,Region 2,17600,09/04/2018,2200,45,365,3801,5126,17151,Active
123,LoanID_123,Product D,NotSpecified,Location 19,Region 6,21250,09/07/2017,2200,55,365,4100,5925,15590,Active
124,LoanID_124,Product B,Female,Location 25,Region 6,17600,25/07/2018,2200,45,365,3180,4205,15400,Active
125,LoanID_125,Product B,Male,Location 286,Region 6,17600,16/08/2018,2200,45,365,3221,4126,11451,Active
126,LoanID_126,Product A,Female,Location 11,Region 1,21750,11/09/2019,3000,55,365,2250,2575,15750,Active
127,LoanID_127,Product A,Male,Location 89,Region 2,21250,30/07/2020,2200,55,365,2050,3275,18800,
128,LoanID_128,Product B,NotSpecified,Location 24,Region 2,17600,31/10/2018,2200,45,365,3060,3685,12480,Active
129,LoanID_129,Product B,Female,Location 97,Region 6,17600,05/06/2018,2200,45,365,3581,4166,10781,Active
130,LoanID_130,Product B,Male,Location 144,Region 3,17600,15/02/2019,2200,45,365,3601,5426,12801,Active
131,LoanID_131,Product C,Male,Location 40,Region 1,16600,18/01/2017,1000,45,365,2260,3185,14740,Active
132,LoanID_132,Product B,Female,Location 3,Region 2,17600,25/04/2019,2200,45,365,3861,4086,11761,Active
133,LoanID_133,Product C,Male,Location 128,Region 6,16600,24/07/2016,1000,45,365,2460,3505,13200,Active
134,LoanID_134,Product A,Male,Location 19,Region 2,20250,28/12/2019,1000,55,365,740,2045,15174,Active
135,LoanID_135,Product D,Male,Location 46,Region 6,17600,17/02/2018,2200,45,365,3301,4256,17311,Active
136,LoanID_136,Product B,Male,Location 73,Region 7,17600,23/03/2018,2200,45,365,3500,4525,17159,Active
137,LoanID_137,Product D,Male,Location 169,Region 2,21250,18/05/2017,2200,55,365,4051,4876,15251,Active
138,LoanID_138,Product A,Male,Location 399,Region 2,20250,05/02/2020,1000,55,365,850,2175,18250,Active
139,LoanID_139,Product C,Female,Location 23,Region 6,16600,12/08/2016,1000,45,365,2220,3245,15870,Active
140,LoanID_140,Product B,Female,Location 191,Region 3,17600,23/04/2019,2200,45,365,4041,3866,9201,Active
141,LoanID_141,Product B,Male,Location 38,Region 1,17600,20/03/2019,2200,45,365,3140,4245,14240,Active
142,LoanID_142,Product B,Male,Location 142,Region 3,17600,05/05/2018,2200,45,365,3540,4565,16820,Active
143,LoanID_143,Product C,Male,Location 8,Region 9,16600,03/08/2016,1000,45,365,2200,3345,16130,Active
144,LoanID_144,Product B,Male,Location 178,Region 2,17600,26/10/2018,2200,45,365,3370,4125,16890,Active
145,LoanID_145,Product C,Female,Location 8,Region 2,16600,11/05/2016,1000,45,365,2420,3445,15936,Active
146,LoanID_146,Product A,Male,Location 510,Region 3,20250,20/01/2020,1000,55,365,850,2675,7900,Active
147,LoanID_147,Product A,Male,Location 19,Region 7,23250,13/03/2020,5000,55,365,5700,6925,22200,Active
148,LoanID_148,Product A,Female,Location 25,Region 3,21250,14/07/2020,2200,55,365,1701,3026,18551,Active
149,LoanID_149,Product A,Female,Location 600,Region 1,20250,06/10/2019,1000,55,365,400,775,7750,Active
150,LoanID_150,Product A,Male,Location 62,Region 8,23250,08/10/2019,5000,55,365,5500,6225,19300,Active
151,LoanID_151,Product B,Male,Location 188,Region 5,17600,21/08/2018,2200,45,365,3540,4505,13460,Active
152,LoanID_152,Product A,Male,Location 67,Region 1,23250,03/11/2019,5000,55,365,5890,6765,14520,Active
153,LoanID_153,Product E,Female,Location 49,Region 6,55625,22/07/2020,8000,120,365,12351,15551,35514,Active
154,LoanID_154,Product E,Male,Location 29,Region 3,55625,08/01/2020,8000,120,365,11851,15376,27876,Active
155,LoanID_155,Product B,NotSpecified,Location 17,Region 2,17600,18/12/2018,2200,45,365,3000,4405,11915,Active
156,LoanID_156,Product A,Female,Location 62,Region 3,23250,11/03/2020,5000,55,365,5500,6375,17450,Active
157,LoanID_157,Product A,Female,Location 53,Region 3,23250,08/06/2019,5000,55,365,5600,6825,17150,Active
158,LoanID_158,Product A,Male,Location 75,Region 6,23250,22/12/2019,5000,55,365,4850,6075,14930,Active
159,LoanID_159,Product A,Female,Location 214,Region 6,23250,03/09/2019,5000,55,365,6100,6925,17590,Active
160,LoanID_160,Product C,Female,Location 70,Region 3,16600,20/07/2016,1000,45,365,2205,3185,14125,
161,LoanID_161,Product A,Male,Location 377,Region 3,,21/12/2019,1000,55,365,900,1925,10350,Active
162,LoanID_162,Product B,Female,Location 222,Region 6,17600,29/01/2019,2200,45,365,3500,4325,16900,Active
163,LoanID_163,Product A,Female,Location 3,Region 10,23250,11/03/2020,5000,55,365,5400,6625,15650,Active
164,LoanID_164,Product D,Female,Location 386,Region 3,21250,16/08/2017,2200,55,365,3250,4375,17995,Active
165,LoanID_165,Product A,Female,Location 88,Region 1,23250,06/06/2019,5000,55,365,5150,4975,7400,Active
166,LoanID_166,Product B,Male,Location 104,Region 3,17600,29/09/2018,2200,45,365,3500,4525,15560,Active
167,LoanID_167,Product A,Female,Location 21,Region 2,20250,26/03/2020,1000,55,365,-2450,-2175,2100,Active
168,LoanID_168,Product A,NotSpecified,Location 405,Region 3,21250,17/12/2019,2200,55,365,1600,3775,10050,Active
169,LoanID_169,Product B,Male,Location 6,Region 2,17600,13/09/2018,2200,45,365,3051,3876,13341,Active
170,LoanID_170,Product D,Male,Location 62,Region 1,21250,24/05/2017,2200,55,365,3551,4776,11881,Active
171,LoanID_171,Product B,Male,Location 114,Region 2,17600,30/08/2018,2200,45,365,3380,4325,17290,Active
172,LoanID_172,Product B,Male,Location 259,Region 2,17600,04/05/2018,2200,45,365,3141,4126,9561,Active
173,LoanID_173,Product D,Female,Location 13,Region 1,21250,12/11/2017,2200,55,365,3851,5176,19521,Active
174,LoanID_174,Product A,NotSpecified,Location 182,Region 1,21250,07/01/2020,2200,55,365,1681,2966,13277,Active
175,LoanID_175,Product B,Male,Location 12,Region 3,17600,18/12/2018,2200,45,365,3201,4166,15621,Active
176,LoanID_176,Product A,Male,Location 228,Region 5,21250,27/12/2019,2200,55,365,1951,2976,14561,Active
177,LoanID_177,Product A,Female,Location 6,Region 6,20250,07/08/2019,1000,55,365,710,2190,18070,Active
178,LoanID_178,Product B,Female,Location 149,Region 8,17600,09/05/2018,2200,45,365,3501,4706,17421,Active
179,LoanID_179,Product A,Female,Location 90,Region 1,21750,04/09/2019,3000,55,365,2600,4025,17650,Active
180,LoanID_180,Product D,Male,Location 46,Region 2,21250,19/10/2017,2200,55,365,3601,4576,17348,Active
181,LoanID_181,Product A,Male,Location 104,Region 6,23250,31/08/2019,5000,55,365,5430,6675,17922,Active
182,LoanID_182,Product B,Male,Location 109,Region 1,17600,20/08/2018,2200,45,365,2661,2966,8241,Active
183,LoanID_183,Product A,Female,Location 111,Region 13,21250,16/07/2020,2200,55,365,950,1825,11850,Active
184,LoanID_184,Product D,Female,Location 19,Region 3,21250,30/03/2017,2200,55,365,3451,4976,17551,Active
185,LoanID_185,Product B,Female,Location 37,Region 2,17600,31/08/2018,2200,45,365,3390,4255,15524,Active
186,LoanID_186,Product A,Male,Location 441,Region 2,21250,03/01/2020,2200,55,365,1451,2326,8551,Active
187,LoanID_187,Product A,Male,Location 46,Region 2,21750,28/09/2019,3000,55,365,2150,3775,19200,Active
188,LoanID_188,Product B,Male,Location 22,Region 6,17600,23/07/2018,2200,45,365,4751,4576,17451,Active
189,LoanID_189,Product B,Male,Location 8,Region 3,17600,16/12/2018,2200,45,365,3500,4165,17240,Active
190,LoanID_190,Product A,Female,Location 421,Region 6,23250,12/06/2019,5000,55,365,5500,6775,13150,Active
191,LoanID_191,Product A,Female,Location 641,Region 3,23250,28/08/2019,5000,55,365,5600,6725,18230,Active
192,LoanID_192,Product A,Male,Location 195,Region 4,23250,11/07/2019,5000,55,365,7450,9275,21600,Active
193,LoanID_193,Product B,Male,Location 94,Region 6,17600,04/01/2019,2200,45,365,3361,4486,17421,
194,LoanID_194,Product E,Female,Location 30,Region 3,55625,08/06/2020,8000,120,365,12601,15926,53751,Active
195,LoanID_195,Product B,Male,Location 44,Region 6,17600,23/05/2018,2200,45,365,3661,5178,17323,Active
196,LoanID_196,Product A,Male,Location 20,Region 2,23250,06/06/2019,5000,55,365,5500,6625,20830,Active
197,LoanID_197,Product B,Male,Location 26,Region 3,17600,28/11/2018,2200,45,365,3620,4245,17000,Active
198,LoanID_198,Product D,Male,Location 22,Region 6,21250,28/08/2017,2200,55,365,3701,4976,20551,Active
199,LoanID_199,Product A,Male,Location 161,Region 12,23250,22/06/2020,5000,55,365,5553,5548,14443,Active
200,LoanID_200,Product C,Male,Location 117,Region 2,16600,27/05/2016,1000,45,365,2180,3565,15920,Active
201,LoanID_201,Product D,Female,Location 4,Region 3,21250,24/06/2017,2200,55,365,3750,5025,15400,Active
202,LoanID_202,Product B,Female,Location 200,Region 4,17600,13/05/2018,2200,45,365,3801,5676,13551,Active
203,LoanID_203,Product E,Male,Location 10,Region 2,55625,21/12/2019,8000,120,365,12370,15995,46745,Active
204,LoanID_204,Product B,NotSpecified,Location 106,Region 2,17600,03/01/2019,2200,45,365,3591,3736,8676,Active
205,LoanID_205,Product B,Male,Location 30,Region 3,17600,05/03/2018,2200,45,365,3701,4366,16691,Active
206,LoanID_206,Product A,Male,Location 25,Region 4,23250,21/04/2020,5000,55,365,5330,6435,15520,Active
207,LoanID_207,Product A,Female,Location 42,Region 2,20250,07/02/2020,1000,55,365,1350,2175,14800,Active
208,LoanID_208,Product A,Female,Location 31,Region 3,20250,09/12/2019,1000,55,365,730,1515,15000,Active
209,LoanID_209,Product A,Female,Location 111,Region 6,20250,14/11/2019,1000,55,365,1550,2675,18200,Active
210,LoanID_210,Product A,Male,Location 48,Region 3,23250,10/06/2020,5000,55,365,5400,6725,19900,Active
211,LoanID_211,Product C,Female,Location 44,Region 3,16600,31/12/2016,1000,45,365,3200,3625,13720,Active
212,LoanID_212,Product A,Male,Location 89,Region 6,23250,06/09/2019,5000,55,365,5080,5165,13910,Active
213,LoanID_213,Product C,Female,Location 122,Region 1,16600,24/09/2016,1000,45,365,2660,3605,15340,Active
214,LoanID_214,Product B,Male,Location 541,Region 2,17600,24/05/2018,2200,45,365,3131,4156,16831,Active
215,LoanID_215,Product A,Female,Location 67,Region 3,23250,30/05/2019,5000,55,365,5250,6325,16650,Active
216,LoanID_216,Product A,Female,Location 111,Region 3,23250,27/03/2020,5000,55,365,5400,6525,19950,Active
217,LoanID_217,Product B,Male,Location 87,Region 3,17600,10/05/2018,2200,45,365,3260,4365,16600,Active
218,LoanID_218,Product A,Male,Location 495,Region 2,21750,25/09/2019,3000,55,365,2220,3625,18750,Active
219,LoanID_219,Product A,Female,Location 193,Region 15,20250,23/04/2020,1000,55,365,-1550,-25,14450,Active
220,LoanID_220,Product B,Male,Location 39,Region 2,17600,23/04/2019,2200,45,365,3321,4266,16741,Active
221,LoanID_221,Product B,Male,Location 25,Region 7,,08/03/2018,2200,45,365,3301,4326,15721,Active
222,LoanID_222,Product B,Male,Location 26,Region 1,17600,27/12/2018,2200,45,365,3501,4166,12341,Active
223,LoanID_223,Product A,Female,Location 9,Region 2,23250,03/09/2019,5000,55,365,5450,6625,15400,Active
224,LoanID_224,Product A,Female,Location 86,Region 6,20250,01/01/2020,1000,55,365,450,925,6500,Active
225,LoanID_225,Product B,Male,Location 107,Region 4,17600,19/11/2018,2200,45,365,3517,4542,15457,Active
226,LoanID_226,Product B,Male,Location 44,Region 2,17600,06/02/2019,2200,45,365,3501,4246,14121,Active
227,LoanID_227,Product A,Female,Location 25,Region 6,20250,20/10/2019,1000,55,365,750,1625,14600,Active
228,LoanID_228,Product A,Male,Location 198,Region 1,20250,21/04/2020,1000,55,365,-1800,-475,15400,Active
229,LoanID_229,Product B,Male,Location 34,Region 3,17600,10/03/2018,2200,45,365,3450,4145,15490,
230,LoanID_230,Product D,Male,Location 46,Region 2,21250,28/09/2017,2200,55,365,2901,3551,5676,Active
231,LoanID_231,Product A,Female,Location 318,Region 2,23250,21/06/2019,5000,55,365,4860,6135,14050,Active
232,LoanID_232,Product C,Female,Location 11,Region 3,16600,15/03/2017,1000,45,365,2140,3205,15980,Active
233,LoanID_233,Product B,Female,Location 104,Region 1,17600,05/09/2018,2200,45,365,3220,4245,16560,Active
234,LoanID_234,Product B,Male,Location 135,Region 3,17600,22/03/2018,2200,45,365,4701,4526,17071,Active
235,LoanID_235,Product E,Male,Location 113,Region 2,55625,22/04/2020,8000,120,365,12576,15626,39251,Active
236,LoanID_236,Product A,Male,Location 177,Region 2,20250,26/05/2020,1000,55,365,-1700,-425,13900,
237,LoanID_237,Product A,Male,Location 87,Region 3,23250,04/06/2019,5000,55,365,5700,6725,19300,Active
238,LoanID_238,Product B,Female,Location 94,Region 2,17600,23/04/2019,2200,45,365,3421,4426,14921,Active
239,LoanID_239,Product A,Female,Location 25,Region 3,23250,13/06/2019,5000,55,365,5350,6675,9250,Active
240,LoanID_240,Product A,Male,Location 25,Region 6,20250,28/03/2020,1000,55,365,-1600,-525,11300,Active
241,LoanID_241,Product A,Male,Location 32,Region 3,20250,24/03/2020,1000,55,365,-1750,-125,13350,Active
242,LoanID_242,Product A,Male,Location 591,Region 6,21750,27/09/2019,3000,55,365,1950,2575,12250,Active
243,LoanID_243,Product A,NotSpecified,Location 6,Region 6,21750,17/09/2019,3000,55,365,2050,2655,8860,Active
244,LoanID_244,Product B,Male,Location 39,Region 6,17600,22/04/2018,2200,45,365,2861,3886,11431,Active
245,LoanID_245,Product B,Male,Location 218,Region 6,17600,09/01/2019,2200,45,365,3251,4366,14541,Active
246,LoanID_246,Product A,Male,Location 488,Region 6,23250,27/10/2019,5000,55,365,6350,7175,22650,Active
247,LoanID_247,Product B,NotSpecified,Location 142,Region 3,17600,23/04/2018,2200,45,365,3501,3856,8611,Active
248,LoanID_248,Product B,Male,Location 418,Region 6,17600,14/07/2018,2200,45,365,3660,4665,15020,Active
249,LoanID_249,Product B,NotSpecified,Location 34,Region 10,17600,01/11/2018,2200,45,365,3500,4525,16310,Active
250,LoanID_250,Product B,Female,Location 50,Region 4,17600,28/08/2018,2200,45,365,3501,4526,11681,Active
251,LoanID_251,Product C,Female,Location 84,Region 6,16600,01/11/2016,1000,45,365,2340,3265,15030,Active
